"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","CZ-NACE_2025_U5",6105,"05202","Úprava hnědého uhlí jiného než lignitu","Úprava hnědého uhlí jiného než lignitu","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"05203","Těžba lignitu, kromě úpravy","Těžba lignitu, kromě úpravy","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"05204","Úprava lignitu","Úprava lignitu","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"06100","Těžba ropy","Těžba ropy","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"06200","Těžba zemního plynu","Těžba zemního plynu","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"07101","Těžba železných rud, kromě úpravy","Těžba železných rud, kromě úpravy","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"07102","Úprava železných rud","Úprava železných rud","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"07211","Těžba uranových a thoriových rud, kromě úpravy","Těžba uranových a thoriových rud, kromě úpravy","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"07212","Úprava uranových a thoriových rud","Úprava uranových a thoriových rud","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"07291","Těžba ostatních neželezných rud, kromě úpravy","Těžba ostatních neželezných rud, kromě úpravy","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"07292","Úprava ostatních neželezných rud","Úprava ostatních neželezných rud","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"08110","Dobývání kamene, vápence, sádrovce, břidlice a jiného kamene","Dobývání kamene, vápence, sádrovce, břidlice a jiného kamene, také pro výtvarné účely","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"08120","Provoz pískoven a štěrkopískoven a těžba jílů a kaolinu","Provoz pískoven a štěrkopískoven a těžba jílů a kaolinu","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"08910","Těžba chemických minerálů a minerálů pro výrobu hnojiv","Těžba chemických minerálů a minerálů pro výrobu hnojiv","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"08920","Těžba rašeliny","Těžba rašeliny","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"08930","Těžba soli","Těžba soli","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"08990","Těžba a dobývání ostatních nerostných surovin j. n.","Těžba a dobývání ostatních nerostných surovin j. n.","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"09100","Podpůrné činnosti pro těžbu ropy a zemního plynu","Podpůrné činnosti pro těžbu ropy a zemního plynu","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"09901","Podpůrné činnosti pro těžbu černého uhlí","Podpůrné činnosti pro těžbu černého uhlí","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"09902","Podpůrné činnosti pro těžbu hnědého uhlí, kromě lignitu","Podpůrné činnosti pro těžbu hnědého uhlí, kromě lignitu","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"09903","Podpůrné činnosti pro těžbu lignitu","Podpůrné činnosti pro těžbu lignitu","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"09904","Podpůrné činnosti pro těžbu železných rud","Podpůrné činnosti pro těžbu železných rud","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"09905","Podpůrné činnosti pro těžbu uranových a thoriových rud","Podpůrné činnosti pro těžbu uranových a thoriových rud","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"09906","Podpůrné činnosti pro těžbu ostatních neželezných rud","Podpůrné činnosti pro těžbu ostatních neželezných rud","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"09909","Podpůrné činnosti pro těžbu a dobývání ostatních nerostných","Podpůrné činnosti pro těžbu a dobývání ostatních nerostných surovin j. n.","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10110","Zpracování a konzervování masa, kromě drůbežího masa","Zpracování a konzervování masa, kromě drůbežího masa","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10120","Zpracování a konzervování drůbežího masa","Zpracování a konzervování drůbežího masa","2025-01-01","9999-09-09"
